,NameCorp,Cusip6,Cusip9
569,Jackson Hewitt Tax Service Inc.,468202,106
570,"Jacobson Stores, Inc.",469834,105
571,James River Coal Company,470355,207
572,Jamesway Corporation (1993),470737,107
573,"Jason Industries, Inc.",471172,106
574,Jayhawk Acceptance Corp.,36113L,101
575,JCC Holding Co.,46611Q,403
576,Jesup Group Inc.,477066,203
577,"Jones Energy, Inc.",48019R,306
578,Journal Register Company,481138,105
579,JPS Textile Group Inc. (1991),46624E,405
580,"JPS Textile Group, Inc. (1997)",46624E,405
581,"JumboSports, Inc.",481386,100
582,"Just For Feet, Inc.",48213P,106
583,JWP Inc.,29084Q,100
584,Kaiser Aluminum Corp.,483007,704
585,"Kaiser Group International, Inc.",483059,101
586,Kaiser Steel Corp.,48399Y,004
587,"Kash N Karry Food Stores, Inc.",48577P,106
588,"Kasper A.S.L., Ltd.",485808,109
589,"KCS Energy, Inc.",482434,206
590,KDT Industries Inc.,482455,102
591,"Kellstrom Industries, Inc.",488035,106
592,"Kenetech Corp. (Kenetech Windpower, Inc. only)",488878,109
593,"Kevco, Inc.",492716,105
594,"Key Energy Services, Inc.",492914,106
595,Kinder Care Learning Centers Inc.,494521,305
596,"KIT digital, Inc.",482470,200
597,"Kitty Hawk, Inc.",498326,206
598,Kmart Corp.,812350,106
599,Koger Properties Inc.,500230,107
600,"Koll Real Estate Group, Inc.",129915,203
601,"Komag, Inc.",500453,204
602,Laclede Steel Company (1998),505606,103
603,Ladish Co. Inc.,50599Y,933
604,"LandAmerica Financial Group, Inc.",514936,103
605,Laroche Industries Inc.,517289,948
606,"Lason, Inc.",51808R,206
607,Leap Wireless International Inc.,521863,308
608,Lear Corporation,521865,204
609,"Leasing Solutions, Inc.",521098,202
610,"Lee Enterprises, Incorporated",523768,109
611,Legacy Reserves Inc.,524706,108
612,Lehman Brothers Holdings Inc.,524908,100
613,"Leiner Health Products, Inc. (2002)",52536P,934
614,"Leiner Health Products, Inc. (2008)",52536P,934
615,Leisure Technology Inc.,525914,107
616,"Lenox Group, Inc.",526262,100
617,Lernout & Hauspie Speech Products NV,B5628B,104
618,"Leslie Fay Companies, Inc.",527016,109
619,Levitz Furniture Incorporated,527482,103
620,Libbey Inc.,529898,108
621,Liberate Technologies,530129,204
622,Linens Holding Co.,535679,104
623,"Linn Energy, LLC",536020,100
624,Lionel Corp. (1982),536257,108
625,Lionel Corp. (1991),536257,108
626,Live Entertainment Inc.,538032,400
627,LodgeNet Interactive Corporation,540211,109
628,"Lodgian, Inc.",54021P,403
629,"Loewen Group, Inc.",014383,103
630,Loews Cineplex Entertainment Corp,540423,100
631,Logix Communications Enterprises Inc.,541424,933
632,Lomas Financial Corp. (1989),541535,100
633,Lomas Financial Corp. (1995),541535,100
634,Lone Star Industries Inc.,542290,408
635,Lonestar Resources US Inc.,54240F,103
636,"LRI Holdings, Inc.",50399Z,932
637,"LSC Communications, Inc.",50218P,107
638,LTV Corp. (1986),501921,100
639,LTV Corp. (2000),501921,100
640,"Luminent Mortgage Capital, Inc.",550278,303
641,Lyondell Chemical Company,552078,107
642,Magellan Health Services Inc.,559079,207
643,Magna Entertainment Corp.,559211,305
644,MagnaChip Semiconductor LLC,55933J,203
645,Magnum Hunter Resources Corporation,55973B,102
646,Majestic Capital Ltd.,G5760D,111
647,"Majestic Star Casino, LLC",56075N,937
648,Mallinckrodt plc,G5785G,107
649,Manville Corp.,478129,109
650,"marchFIRST, Inc.",566244,109
651,"Mariner Post-Acute Network, Inc.",56845X,108
652,Marion Corp.,568695,209
653,"Marvel Entertainment Group, Inc.",573913,100
654,Mattress Firm Holding Corp.,57722W,106
655,Maxicare Health Plans Inc.,577904,501
656,"Mayflower Group Inc. (MG Holdings, Inc.)",578349,102
657,McClatchy Company,579489,303
658,McCrory Corp.,579865,007
659,"McDermott International, Inc.",580037,703
660,McLean Industries Inc.,582087,102
661,McLeodUSA Incorporated (2005),582266,706
662,"McLeodUSA, Inc. (2002)",582266,706
663,McLouth Steel Corp.,582273,10
664,Mcorp,55267M,103
665,MCSI Inc.,55270M,108
666,"MediaNews Group, Inc. (Affiliated Media, Inc. only)",008257,10
667,"Medical Resources, Inc.",58461Q,409
668,"Mediq, Inc.",584906,101
669,"Megafoods Stores, Inc.",584951,107
670,"Melinta Therapeutics, Inc.",58549G,209
671,Memorex Telex N.V. (1992),586014,102
672,Memorex Telex N.V. (1994),586014,102
673,Memorial Production Partners LP,586048,100
674,"Mercantile Bancorp, Inc.",58734P,105
675,Mercury Finance Company,55272N,104
676,"Merisant Worldwide, Inc.",58985C,985
677,Merry-Go-Round Enterprises Inc.,590436,101
678,"Meruelo Maddux Properties, Inc.",590473,104
679,"Mesa Air Group, Inc.",590479,101
680,"Metals USA, Inc.",591324,207
681,"Metricom, Inc.",591596,101
682,"Metromedia Fiber Network, Inc.",00374N,107
683,"Metropolitan Mortgage & Securities Co., Inc.",59299W,931
684,MF Global Holdings Ltd.,55277J,108
685,MGF Oil Corp.,552813,107
686,Michigan General Corporation (1987),594517,104
687,"MicroAge, Inc.",594928,103
688,"Mid-American Waste Systems, Inc.",59523F,100
689,"Midstates Petroleum Company, Inc.",59804T,308
690,Midway Airlines Corp (2001),598126,100
691,Midway Airlines Inc. (1991),598130,102
692,"Midwest Banc Holdings, Inc.",598251,106
693,Milacron Inc.,598709,301
694,"Milagro Oil & Gas, Inc.",59699A,000
695,"Miller Energy Resources, Inc.",600527,105
696,MiniScribe Corp.,603669,102
697,Mirant Corp.,37244E,107
698,Mississippi Chemical Corp.,605288,208
699,"MMH Holdings, Inc.",55308T,851
700,MModal Inc.,60689B,107
701,MMR Holding Corp.,553100,108
702,"Mobile Energy Services Holdings, Inc.",607358,AA6
703,"MobileMedia Communications, Inc.",607415,106
704,"Molten Metal Technology, Inc.",608712,105
705,"Molycorp, Inc.",608753,109
706,Momentive Performance Materials Inc.,60899U,937
707,Monaco Coach Corporation,60886R,103
708,Monarch Capital Corp.,609023,106
709,Montgomery Ward Holding Corp. (1997),61499Y,931
710,Montgomery Ward Holding Corp. (2000),61499Y,931
711,Morrison Knudsen Corp.,618447,106
712,Mortgage & Realty Trust (1990),919904,102
713,Mortgage & Realty Trust (1995),919904,102
714,"Movie Gallery, Inc. (2007)",624581,203
715,"Movie Gallery, Inc. (2010)",624581,203
716,MPC Corporation,553166,109
717,Mpower Holding Corp.,62473L,309
718,"MTS, Incorporated",553774,936
719,Muzak Holdings LLC,62844K,931
720,NACO Finance Corp.,628910,AA
721,National Convenience Stores Inc.,635570,500
722,"National Energy Group, Inc.",635812,209
723,National Gypsum Co.,636317,109
724,National Steel Corp.,637844,309
725,"NationsRent, Inc.",638588,103
726,"Nebraska Book Company, Inc.",639579,937
727,"Neenah Enterprises, Inc. (2010)",64007R,109
728,Neenah Foundry Company (2003),640071,932
729,Neff Corp.,640094,942
730,"NetBank, Inc.",640933,107
731,Network Plus Corp.,64122D,506
732,New American Healthcare Corp.,641881,107
733,New Century Communications Inc.,64399A,938
734,New Century Financial Corporation,6435EV,108
735,New Source Energy Partners L.P.,64881E,109
736,New Valley Corp.,649080,504
737,New World Pasta Co.,64928U,934
738,"NewAge, Inc.",650194,103
739,NewPage Corporation,65199X,002
740,"NewPower Holdings, Inc.",652463,100
741,Nexity Financial Corporation,65333R,200
742,"NII Holdings, Inc. (2014)",62913F,201
743,Nobilis Health Corp.,65500B,103
744,Noble Corporation plc,G65431,101
745,"Noble International, Ltd.",655053,106
746,Noranda Aluminum Holding Corporation,65542W,206
747,"Nortel Networks Corp. (Nortel Networks, Inc. only)",656568,508
748,"NorthPoint Communications Group, Inc.",666610,100
749,Northwest Airlines Corporation,667280,408
750,NorthWestern Corporation,668074,305
751,Northwestern Steel & Wire Co.,668367,204
752,"NRG Energy, Inc. (2002)",629377,508
753,"NRG Energy, Inc. (2003)",629377,508
754,"NTELOS, Inc.",67019U,101
755,NTL Communications Corp.,62940N,AA
756,Nucorp Energy Inc.,12612L,108
757,"Nu-kote Holding, Inc.",669935,108
758,"Nuverra Environmental Solutions, Inc.",67091K,203
759,NVR LP,62944T,105
760,"O Brien Environmental Energy, Inc.",19238M,105
761,Oakwood Homes Corp.,674098,207
762,Oasis Petroleum Inc.,674215,108
763,"OCA, Inc.",67083Q,101
764,Oglebay Norton Company,677007,205
765,Oneida Ltd.,682505,102
766,"OpTel, Inc.",683817,308
767,"Orbcomm Global, LP",68555P,10
768,Orchard Supply Hardware Stores Corporation,685691,404
769,Orchids Paper Products Company,68572N,104
770,"Orexigen Therapeutics, Inc.",686164,302
771,Orion Pictures Corp.,686285,503
772,"Orleans Homebuilders, Inc.",686588,104
773,Outboard Marine Corporation,690020,102
774,Outsourcing Solutions Inc.,690132,931
775,"Overseas Shipholding Group, Inc.",690368,105
776,Oxford Energy Co.,691435,101
777,Pacific Drilling S.A. (2020),L7257P,205
778,Pacific Gas & Electric Co. (2001),69331C,108
779,"Pacific Gateway Exchange, Inc.",694327,107
780,"PacificAmerica Money Center, Inc.",20453F,106
781,"Paging Network, Inc.",695542,100
782,"Palm Harbor Homes, Inc.",696639,103
783,Pan Am Corp.,697757,102
784,Paracelsus Healthcare Corp.,698891,108
785,Paragon Offshore plc,G6S01W,108
786,Paragon Offshore plc (2017),G6S01W,108
787,"Paragon Trade Brands, Inc.",69912K,206
788,Parker Drilling Company,701081,408
789,Patriot Coal Corporation (2012),70336T,104
790,Patriot Coal Corporation (2015),70336T,500
791,"Patriot National, Inc.",70338T,102
792,"Pay N Pak Stores, Inc.",704312,933
793,"Payless Cashways, Inc. (1997)",704378,405
794,"Payless Cashways, Inc. (2001)",704378,405
795,Peabody Energy Corporation,704549,203
796,"Pegasus Gold, Inc.",70556K,106
797,Penn Traffic Co (1999),707832,309
798,Penn Traffic Co (2003),707832,309
799,Penn Virginia Corporation,707882,106
800,"PennCorp Financial Group, Inc.",845606,102
801,"Penn-Dixie Industries, Inc.",212072,102
802,Pennsylvania Real Estate Investment Trust,709102,107
803,"Penson Worldwide, Inc.",709600,100
804,Pentacon Inc.,709620,108
805,"Peregrine Systems, Inc.",71366Q,200
806,Performance Sports Group Ltd.,71377G,100
807,"Perfumania Holdings, Inc.",71376C,100
808,Perkins & Marie Callenders Inc.,761253,939
809,Petrolane Gas Service LP,71654J,108
810,Pettibone Corporation,716769,203
811,"PFF Bancorp, Inc.",69331W,104
812,PG&E Corp. (Pacific Gas and Electric Co.) (2019),69331C,108
813,"PG&E National Energy Group, Inc.",69334T,009
814,"Phar-Mor, Inc. (2001)",717113,203
815,"PHI, Inc.",69336T,205
816,Philip Services Corp. (1999),718193,105
817,Philip Services Corp. (2003),718193,105
818,Phoenix Steel Corp.,719151,102
819,PHP Healthcare Corporation,693344,103
820,"P-I-E Nationwide, Inc.",69399Y,109
821,"Pier 1 Imports, Inc.",720279,504
822,"Pierre Foods, Inc.",72099Y,916
823,Pillowtex Corp. (2003),721506,103
824,Pinnacle Airlines Corp.,723443,107
825,"Pinnacle Holdings, Inc.",72346N,101
826,"Pioneer Companies, Inc.",723643,300
827,Pioneer Energy Services Corp.,723664,108
828,Plaid Clothing Group Inc.,726133,AA
829,"Planet Hollywood International, Inc.",72702Q,102
830,Pliant Corporation (2006),729136,937
831,Pliant Corporation (2009),729136,937
832,"PMI Group, Inc.",69344M,101
833,Polaroid Corp,731095,105
834,"Polymer Group, Inc.",731745,204
835,"Pope & Talbot, Inc.",732827,100
836,"Powerwave Technologies, Inc.",739363,307
837,Presidio Oil Company,741016,307
838,Prime Motor Inns Inc.,741917,108
839,"Primus Telecommunications Group, Inc.",741929,301
840,ProMedCo Management Company,74342L,105
841,"Propex, Inc.",74345R,935
842,PSINet Inc.,74437C,101
843,Public Service Co of New Hampshire,744482,001
844,"Purina Mills, Inc.",746276,104
845,"Pyxus International, Inc.",74737V,106
846,Qintex Entertainment Inc.,747275,105
847,Quicksilver Resources Inc.,74837R,104
848,"Quiksilver, Inc.",74838C,38C
849,Quorum Health Corporation,74909E,110
850,R H Macy & Co. Inc.,556139,939
851,R.H. Donnelley Corporation,74955W,100
852,RAAM Global Energy Company,74920A,AC3
853,Radice Corp.,560794,109
854,RadioShack Corporation,750438,103
855,Radnor Holdings Corporation,750495,921
856,RAIT Financial Trust,749227,864
857,RCN Corporation,749361,200
858,RCS Capital Corporation,74937W,102
859,RDA Holding Co. (2013),74993W,939
860,"RDM Sports Group, Inc.",749412,102
861,"Readers Digest Association, Inc.",755267,937
862,Read-Rite Corp.,755246,204
863,"Real Industry, Inc.",231082,603
864,Recoton Corp.,756268,108
865,"Recycling Industries, Inc.",756285,102
866,Redback Networks Inc.,757209,507
867,"Reddy Ice Holdings, Inc.",75734R,105
868,Reeves Industries Inc.,758609,002
869,Refco Finance Inc.,75866G,109
870,"Reliance Acceptance Group, Inc.",75999X,102
871,"Reliance Group Holdings, Inc.",759464,100
872,"Reliant Building Products, Inc.",75952G,10
873,"Remy International, Inc.",24699Y,945
874,"Renaissance Cosmetics, Inc.",759664,10
875,"Rentech, Inc.",760112,201
876,REPH Acquisition Co.,686857,103
877,Republic Airways Holdings Inc.,760276,105
878,"Republic Engineered Products Holdings, LLC (2003)",760391,102
879,Residential Resources Mortgage Investments Corp.,760929,109
880,Resorts International Inc. (1989),398189,100
881,Resorts International Inc. (1994),398189,100
882,Restaurant Enterprises Group Inc.,761255,AA
883,Revco D.S. Inc.,761339,100
884,Revere Copper & Brass Inc.,761406,107
885,"Revlon, Inc. (Revlon Consumer Products Corporation)",761525,609
886,Rex Energy Corporation,761565,506
887,Rexene Corp.,447015,942
888,"RHI Entertainment, Inc.",74957T,104
889,"Rhythms NetConnections, Inc.",762430,205
890,Rickel Home Centers Inc.,765635,10
891,Rosehill Resources Inc.,777385,105
892,Roses Stores Inc.,94767P,209
893,Rotech Healthcare Inc.,778669,101
894,"Rouge Industries, Inc.",779088,103
895,"RSL Communications, Ltd.",G7702U,102
896,"RTW Retailwinds, Inc.",74980D,100
897,Sabine Oil & Gas Corporation,78532P,107
898,Safelite Glass Corporation,786450,932
899,Safety Kleen Corp.,78648R,203
900,Salant Corp. (1990),794004,200
901,Salant Corp. (1998),794004,200
902,"Sambos Restaurants, Inc.",795872,100
903,Samson Resources Corporation,78999Z,937
904,Sanchez Energy Corporation,79970Y,105
905,"SandRidge Energy, Inc.",80007P,307
906,Saxon Industries Inc.,805567,10
907,"Sbarro, Inc.",805844,933
908,"School Specialty, Inc.",807863,105
909,Sea Containers Ltd.,811371,707
910,"Seahawk Drilling, Inc.",81201R,107
911,Sears Holdings Corporation,812350,106
912,"Seatrain Lines, Inc.",812557,205
913,Security Bank Corporation,814047,106
914,Seitel Inc.,816074,405
915,"Sequential Brands Group, Inc.",81734P,206
916,Servam Corp.,817912,108
917,"Service Merchandise Company, Inc.",817587,108
918,"Seven Seas Petroleum, Inc.",G80550,109
919,Seventy Seven Energy Inc.,818097,107
920,"SFX Entertainment, Inc.",784178,303
921,Sharper Image Corporation,820013,100
922,"ShengdaTech, Inc.",823213,103
923,"Silicon Graphics, Inc. (2006)",827056,300
924,"Silicon Graphics, Inc. (2009)",827056,300
925,Silver State Bancorp,828251,108
926,Simmons Company,87299,Y95
927,Singer Co. (Bicoastal Corporation),088774,948
928,"Sirva, Inc.",82967Y,104
929,"SLI, Inc.",78442T,108
930,"SLM International, Inc.",434149,100
931,"Smartalk Teleservices, Inc.",83169A,100
932,Smith International Inc.,832110,100
933,Smurfit-Stone Container Corporation,832727,101
934,"Solutia, Inc.",834376,501
935,"SONICblue, Inc.",83546Q,109
936,"Source Interlink Companies, Inc.",836151,209
937,"Southcross Energy Partners, L.P.",84130C,100
938,Southern Pacific Funding Corporation,843576,109
939,Southland Corp.,817826,209
940,Southmark Corp.,844544,809
941,Spansion Inc.,84649R,200
942,Special Metals Corp.,84741Y,103
943,"Specialty Equipment Companies, Inc.",847497,203
944,SpectraVision Inc.,847607,108
945,"SPI Holding, Inc.",847607,108
946,Spiegel Inc.,848457,107
947,Spreckels Industries Inc.,849416,201
948,SquareTwo Financial Corporation,85224C,AA2
949,"Stage Stores, Inc. (2000)",85254C,305
950,"Stage Stores, Inc. (2020)",85254C,305
951,Standard Brands Paint Co.,853156,206
952,Standard Register Company,853887,206
953,Star Telecommunications Inc.,854923,109
954,Startec Global Communications Corporation,85569E,103
955,"Station Casinos, Inc.",857689,103
956,"Stein Mart, Inc.",858375,108
957,"Stellex Industries, Inc. (Stellex Technologies, Inc.)",858565,104
958,"Sterling Chemicals Holdings, Inc.",85916E,103
959,"Stockwalk Group, Inc.",86149C,104
960,"Stone & Webster, Inc.",861572,105
961,Stone Energy Corporation,861642,304
962,Storage Technology Corp.,862111,200
963,Sudbury Inc.,864635,206
964,"Sun HealthCare Group, Inc.",86677E,100
965,"Sun Television and Appliances, Inc.",866881,105
966,Sunbeam Corporation,867071,102
967,Sundance Energy Inc.,86725N,102
968,"SunEdison, Inc.",86732Y,109
969,Sunterra Corp.,86787D,208
970,"Sun-Times Media Group, Inc.",86688Q,100
971,"Superior Energy Services, Inc.",868157,306
972,"Superior Telecom, Inc.",86815V,105
973,"SuperMedia, Inc. (2013)",868447,103
974,Swift Energy Company,870738,101
975,Syms Corp.,871551,107
976,Syntax-Brillian Corporation,87163L,103
977,"System Software Associates, Inc.",871839,205
978,Tacoma Boatbuilding Co. (1985),873452,304
979,"Tailored Brands, Inc.",87403A,107
980,Tamalpais Bancorp,87485H,103
981,Tandon Corp. (TSL Holdings Inc.),872918,107
982,Tarragon Corporation,876287,103
983,TBS International plc,G8657Q,104
984,"Team Financial, Inc.",87815X,109
985,Technical Equities Corp.,878415,108
986,Telesphere Communications Inc.,879908,101
987,Teligent Inc,87959Y,103
988,"Telscape International, Inc.",87971Q,104
989,Temecula Valley Bancorp Inc.,87972L,104
990,TerreStar Corporation (2011),881451,108
991,Texaco Inc.,881694,103
992,Texas American Bancshares Inc.,882147,101
993,"Texas Petrochemical Holdings, Inc.",882649,108
994,TGX Corp.,872424,106
995,Thermadyne Holdings Corp. (1993),883435,307
996,Thermadyne Holdings Corp. (2001),883435,307
997,"Thorn Apple Valley, Inc.",885184,101
998,"Thornburg Mortgage, Inc.",885218,800
999,THQ Inc.,872443,601
1000,Tidewater Inc.,886423,102
1001,TierOne Corporation,88650R,108
1002,Todd Shipyards Corp.,889039,103
1003,Tokheim Corp. (2000),889073,201
1004,Tokheim Corporation (2002),889073,201
1005,Tops Holding II Corporation,89099A,003
1006,Touch America Holdings Inc.,891539,108
1007,"TOUSA, Inc.",872962,105
1008,"Tower Air, Inc.",891697,104
1009,"Tower Automotive, Inc.",891707,101
1010,Towle Mfg. Co. (1986),89299Y,009
1011,"Town Sports International Holdings, Inc. (TSI, LLC only)",89214A,102
1012,Towner Petroleum Co.,892149,105
1013,"Toys R Us, Inc.",892335,936
1014,Tracor Inc.,892349,200
1015,"Trans World Airlines, Inc. (1992)",893349,837
1016,"Trans World Airlines, Inc. (1995)",893349,837
1017,"Trans World Airlines, Inc. (2001)",893349,837
1018,Transmeridian Exploration Incorporated,89376N,108
1019,Transportation Components Inc.,893878,108
1020,"Trend-Lines, Inc.",894859,107
1021,Trenwick Group Ltd,G9032C,109
1022,Triad Guaranty Inc.,895925,105
1023,Triangle Petroleum Corp. (Triangle USA Petroleum Corp. only),001281,922
1024,Tribune Company,896047,107
1025,"Trico Marine Services, Inc. (2004)",896106,200
1026,"Trico Marine Services, Inc. (2010)",896106,200
1027,"Trident Microsystems, Inc.",895919,108
1028,"Trism, Inc.",896925,203
1029,Tronox Incorporated,897051,306
1030,"Trump Entertainment Resorts, Inc. (2009)",89816T,103
1031,"Trump Entertainment Resorts, Inc. (2014)",89816T,103
1032,Trump Hotels & Casino Resorts Inc. (2004),89816T,103
1033,Trump Plaza Funding Inc.,898171,103
1034,Trump Taj Mahal Funding Inc.,898172,937
1035,Trumps Castle Funding Inc.,898178,108
1036,Tuesday Morning Corporation,899035,505
1037,Tultex Corporation,899900,104
1038,"Tweeter Home Entertainment Group, Inc.",901167,106
1039,TXCO Resources Inc.,87311M,102
1040,"U.S. Aggregates, Inc.",90334D,109
1041,"U.S. Concrete, Inc.",90333L,201
1042,U.S. Home Corp.,911920,106
1043,U.S. Office Products Company,912325,305
1044,"U.S.A. Floral Products, Inc.",90331T,107
1045,UAL Corporation,902549,500
1046,"UCBH Holdings, Inc.",90262T,308
1047,"UDC Homes, Inc.",902646,108
1048,"Ultimate Electronics, Inc.",903849,107
1049,Ultra Petroleum Corp. (2016),903914,109
1050,Ultra Petroleum Corp. (2020),903914,208
1051,Unicapital Corporation,90459D,108
1052,Union Acceptance Corporation,96445P,105
1053,Unit Corporation,909218,109
1054,United Artists Theatre Company,909408,932
1055,United Companies Financial Corporation,909870,107
1056,United Merchants & Manufacturers Inc.,910858,109
1057,"United Western Bancorp, Inc.",913201,109
1058,UNR Industries Inc.,35241Q,107
1059,"UPC Polska, Inc.",045920,10
1060,"US Airways Group, Inc. (2002)",911905,107
1061,"US Airways Group, Inc. (2004)",911905,503
1062,USEC Inc.,90333E,207
1063,USG Corp. (1993),903293,405
1064,USG Corp. (2001),903293,405
1065,"USInterNetworking, Inc.",917311,805
1066,Valaris plc,G9402V,109
1067,Valley Media Inc.,91972C,106
1068,Value Merchants Inc.,919902,106
1069,"Vanguard Natural Resources, LLC",92205F,106
1070,Velocita Corp.,69333S,110
1071,"Vencor, Inc.",494580,103
1072,"Venoco, Inc. (Denver Parent Corp.)",92275P,307
1073,Venture Holdings Co LLC,92399S,914
1074,"Venture Stores, Inc",923275,101
1075,"Verado Holdings, Inc.",92335X,100
1076,VeraSun Energy Corporation,92336G,106
1077,Verso Corporation,92531L,108
1078,"Vertis, Inc. (2008)",925335,937
1079,"Vertis, Inc. (2010)",925335,937
1080,Vesta Insurance Group Inc.,925391,104
1081,Vestron Inc.,925492,100
1082,ViaSystems Group Inc.,92553H,803
1083,Viatel Inc.,925529,208
1084,"ViCorp Restaurants, Inc.",925817,934
1085,Vineyard National Bancorp,927426,106
1086,"Vista Eyecare, Inc.",63845P,101
1087,Visteon Corporation,92839U,206
1088,"Vlasic Foods International, Inc.",928559,103
1089,W.R. Grace & Company,38388F,108
1090,"Walter Energy, Inc.",93317Q,105
1091,Walter Investment Management Corp.,93317W,102
1092,Wang Laboratories Inc.,93369N,109
1093,Warnaco Group Inc.,934390,402
1094,"Washington Group International, Inc.",938862,208
1095,"Washington Mutual, Inc.",939322,103
1096,"Washington Prime Group Inc. (Washington Prime Group, L.P.)",93964W,405
1097,"Waste Systems International, Inc.",94106P,209
1098,"WCI Communities, Inc.",92923C,104
1099,WCI Steel Inc.,92923J,109
1100,Weatherford International plc,G48833,100
1101,"WebLink Wireless, Inc.",94769A,101
1102,"WebVan Group, Inc.",94845V,103
1103,WedTech Corp.,948462,106
1104,Weirton Steel Corp.,948774,104
1105,"Wellman, Inc.",949702,104
1106,"West Point-Pepperell, Inc. (West Point Acquisition Corp. only)",955465,109
1107,Westbridge Capital Corp.,91731P,109
1108,Western Co. of North America,958043,408
1109,Western Preferred Corp.,959245,40
1110,Westmoreland Coal Co. (1994),960878,106
1111,Westmoreland Coal Company (2018),960878,106
1112,WestPoint Stevens Inc. (2003),961238,102
1113,Wheeling-Pittsburgh Steel Corp. (1985),410315,105
1114,"Wherehouse Entertainment, Inc. (1995)",963281,100
1115,"Wherehouse Entertainment, Inc. (2003)",963281,100
1116,White Motor Corp.,29409K,606
1117,Whiting Petroleum Corporation,966387,409
1118,WHX Corporation,410315,105
1119,"Wickes Companies, Inc.",194831,004
1120,"Wilshire Financial Services Group, Inc.",087866,109
1121,Wilson Foods Corp. (1983),972218,101
1122,"Windstream Holdings, Inc. (Windstream Services, LLC)",97382A,309
1123,"Winn-Dixie Stores, Inc.",974280,307
1124,"Winstar Communications, Inc.",975515,107
1125,"Wireless One, Inc.",97652H,109
1126,"WKI Holding Company, Inc.",92999Z,938
1127,"World Access, Inc.",98141A,101
1128,"Worlds of Wonder, Inc.",981902,109
1129,"WorldSpace, Inc.",981579,105
1130,"Worldtex, Inc.",981907,108
1131,WTD Industries Inc.,894688,100
1132,"Xerium Technologies, Inc.",98416J,118
1133,"XO Communications, Inc.",98417K,106
1134,"Xpedior, Inc.",98413B,100
1135,York Research Corporation (2002),987048,105
1136,"Young Broadcasting, Inc.",987434,107
1137,Zale Corp.,988858,106
1138,Zenith Electronics Corp.,989349,105
1139,Ziff Davis Holdings Inc.,98951V,10
